"Year","Month","Day","Hour","Temp","Warm_Hour"
2008,3,21,2,7.091,FALSE
2008,3,21,3,8.22,FALSE
2008,3,21,4,8.593,FALSE
2008,3,21,5,7.091,FALSE
2008,3,21,6,6.23,FALSE
2008,3,21,7,6.179,FALSE
2008,3,21,8,12.001,FALSE
2008,3,21,9,13.233,FALSE
2008,3,21,10,15.438,FALSE
2008,3,21,11,17.177,FALSE
2008,3,21,12,18.889,FALSE
2008,3,21,13,19.698,FALSE
2008,3,21,14,20.174,FALSE
2008,3,21,15,20.603,FALSE
2008,3,21,16,20.77,FALSE
2008,3,21,17,19.651,FALSE
2008,3,21,18,17.605,FALSE
2008,3,21,19,14.242,FALSE
2008,3,21,20,11.321,FALSE
2008,3,21,21,9.46,FALSE
2008,3,21,22,8.22,FALSE
2008,3,21,23,7.87,FALSE
2008,3,22,0,7.67,FALSE
2008,3,22,1,7.268,FALSE
2008,3,22,2,11.467,FALSE
2008,3,22,3,12.678,FALSE
2008,3,22,4,10.32,FALSE
2008,3,22,5,10.98,FALSE
2008,3,22,6,7.544,FALSE
2008,3,22,7,5.872,FALSE
2008,3,22,8,14.17,FALSE
2008,3,22,9,17.843,FALSE
2008,3,22,10,19.841,FALSE
2008,3,22,11,21.056,FALSE
2008,3,22,12,22.896,FALSE
2008,3,22,13,24.388,FALSE
2008,3,22,14,25.137,TRUE
2008,3,22,15,25.914,TRUE
2008,3,22,16,25.234,TRUE
2008,3,22,17,22.705,FALSE
2008,3,22,18,20.579,FALSE
2008,3,22,19,16.368,FALSE
2008,3,22,20,13.69,FALSE
2008,3,22,21,12.847,FALSE
2008,3,22,22,10.687,FALSE
2008,3,22,23,9.78,FALSE
2008,3,23,0,8.07,FALSE
2008,3,23,1,7.116,FALSE
2008,3,23,2,6.255,FALSE
2008,3,23,3,5.282,FALSE
2008,3,23,4,4.584,FALSE
2008,3,23,5,3.932,FALSE
2008,3,23,6,3.775,FALSE
2008,3,23,7,8.295,FALSE
2008,3,23,8,11.904,FALSE
2008,3,23,9,14.481,FALSE
2008,3,23,10,17.748,FALSE
2008,3,23,11,20.555,FALSE
2008,3,23,12,22.321,FALSE
2008,3,23,13,23.737,FALSE
2008,3,23,14,25.355,TRUE
2008,3,23,15,25.307,TRUE
2008,3,23,16,24.653,FALSE
2008,3,23,17,23.472,FALSE
2008,3,23,18,20.984,FALSE
2008,3,23,19,17.368,FALSE
2008,3,23,20,14.433,FALSE
2008,3,23,21,12.34,FALSE
2008,3,23,22,10.541,FALSE
2008,3,23,23,9.46,FALSE
