"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-4,-3,0.000757054767614012,0
10,-4,-2,0.00250131642241555,0
10,-4,-1,0.00961115120120793,0
10,-4,0,0.0384258704782472,0
10,-4,1,0.140784173858652,0
10,-4,2,0.378133216885398,0
10,-4,3,0.584705969142739,0
10,-4,4,0.622748696899764,0
10,-4,5,0.662077457424636,0.30440927660313
10,-4,6,0.666714627320571,1.63295471289847
10,-4,7,0.673957404095938,4.26922124815645
10,-4,8,0.692812541929901,8.30952763939827
10,-4,9,0.695760042636005,13.7792361022377
10,-4,10,0.693868005405766,20.6283270782831
10,-4,11,0.692367242983466,28.7731680794487
10,-4,12,0.687322123022995,38.0979056108589
10,-4,13,0.66234001983452,48.4560514193419
10,-4,14,0.633808068557006,59.6773382389417
10,-4,15,0.618281898551429,71.5809157999921
10,-4,16,0.594058949026006,83.9682513538785
10,-4,17,0.567186854921884,96.6328424751412
10,-4,18,0.503512141571785,109.369273193002
10,-4,19,0.465661552838036,121.9731897818
10,-4,20,0.462837331449464,134.239536737446
10,-4,21,0.337275657506962,145.973834678576
10,-4,22,0.21681125289321,157.000803277441
10,-4,23,0.13701858345203,167.162434448681
10,-4,24,0.0727833574364369,176.314858527344
10,-4,25,0,184.336812873794
10,-4,26,0,186.013695115677
10,-4,27,0,182.746877817164
10,-4,28,0,177.089935661841
10,-4,29,0,169.613402976085
10,-4,30,0,160.384488419034
10,-3,-3,0.00146245186267119,0
10,-3,-2,0.00360984035765194,0
10,-3,-1,0.0116860922346669,0
10,-3,0,0.0428933305610073,0
10,-3,1,0.150243916578524,0
10,-3,2,0.393455240882767,0
10,-3,3,0.593946431023949,0
10,-3,4,0.629526421383557,0
10,-3,5,0.681248778208643,0.322470896777638
10,-3,6,0.679467110256928,1.72245705954494
10,-3,7,0.692421303889927,4.47765519833528
10,-3,8,0.701043723315579,8.68257743304615
10,-3,9,0.699531824198225,14.346357961354
10,-3,10,0.708537305041601,21.4153250777021
10,-3,11,0.701570495140223,29.8014376842755
10,-3,12,0.689537893195083,39.3801635806232
10,-3,13,0.680814589409161,49.9984984591881
10,-3,14,0.660934863571652,61.4873411721191
10,-3,15,0.623133826034764,73.6548616479125
